Rank,team_name,Record,WIN,LOSS,Points For,Points Against,Point Percent,ScoreBetter,ScoreWorse,DIFF,Opp_Points_For,Opp_Points_Against,PointPercent,ReversePP,Adj_Opp_PF,Adj_Opp_PA,Adj_Ppercent,Adj_Rppercent,Opp_Win,Opp_Loss,Opp_Conf_Win,Opp_Conf_Loss,Opp_AP_Win,Opp_AP_Loss,Opp_Home_Win,Opp_Home_Loss,Opp_Away_Win,Opp_Away_Loss,Total,WinPercent,AP_Win_Percent
,south carolina gamecocks,4-8,4,8,269,313,86%,-3.67,-12.80,9.13,4662,2850,164%,61%,4393,2537,173%,58%,101,44,54,34,9,21,58,19,28,22,145,70%,30%
,arkansas razorbacks,2-10,2,10,257,442,58%,-15.42,-9.87,-5.54,4519,3312,136%,73%,4262,2870,149%,67%,85,56,45,43,9,23,52,23,22,29,141,60%,28%
14,auburn tigers,9-4,9,4,432,254,170%,13.69,-9.09,22.79,5270,3655,144%,69%,4838,3401,142%,70%,106,52,59,39,14,27,62,18,27,29,158,67%,34%
,mississippi state bulldogs,6-7,6,7,359,375,96%,-1.23,-8.71,7.48,5091,3739,136%,73%,4732,3364,141%,71%,99,58,55,42,11,27,59,23,27,30,157,63%,29%
18,michigan wolverines,9-4,9,4,412,269,153%,11.00,-7.88,18.88,5224,3758,139%,72%,4812,3489,138%,73%,101,67,52,45,17,34,63,24,30,37,168,60%,33%
,vanderbilt commodores,3-9,3,9,198,381,52%,-15.25,-7.16,-8.09,4022,3203,126%,80%,3824,2822,136%,74%,81,59,46,43,11,22,50,25,22,31,140,58%,33%
,georgia tech yellow jackets,3-9,3,9,200,389,51%,-15.75,-6.88,-8.88,4139,3338,124%,81%,3939,2949,134%,75%,85,59,49,39,12,17,52,22,26,28,144,59%,41%
,tulsa golden hurricane,4-8,4,8,317,376,84%,-4.92,-6.86,1.95,5095,4090,125%,80%,4778,3714,129%,78%,97,58,54,44,8,24,56,17,34,38,155,63%,25%
,rutgers scarlet knights,2-10,2,10,159,440,36%,-23.42,-6.85,-16.57,4706,3925,120%,83%,4547,3485,130%,77%,93,62,53,36,14,27,54,25,32,32,155,60%,34%
,texas am aggies,8-5,8,5,384,293,131%,7.00,-6.83,13.83,4953,3797,130%,77%,4569,3504,130%,77%,92,64,52,45,18,26,54,27,27,30,156,59%,41%
,houston cougars,4-8,4,8,368,408,90%,-3.33,-6.78,3.44,4994,4065,123%,81%,4626,3657,126%,79%,89,54,52,38,10,16,54,13,27,38,143,62%,38%
11,wisconsin badgers,10-4,10,4,477,237,201%,17.14,-6.38,23.52,5533,4132,134%,75%,5056,3895,130%,77%,112,70,73,50,17,32,66,29,38,34,182,62%,35%
